RowID,Survey Method,Survey Type,Reporting Date,Reporting Year,City,Age,Age Group,Gender,Race,Ethnicity,Hispanic,Veteran Status,Chronic,Latitude,Longitude,Geolocation
5502,Interview,App,01/27/2020,2020,Scottsdale,55-61,25+,male,White,No,White,Yes,true,33.469859236,-111.915003592,POINT (-111.915003592 33.469859236)
6278,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,Black or African American,No,Black or African American,,,33.448394858,-112.07705847,POINT (-112.07705847 33.448394858)
5194,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,No,,33.465373619,-112.144104475,POINT (-112.144104475 33.465373619)
6431,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,Black or African American,No,Black or African American,,,33.451546131,-112.124056192,POINT (-112.124056192 33.451546131)
4957,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,No,,33.54174342,-112.13525176,POINT (-112.13525176 33.54174342)
5730,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.445930527,-112.089020681,POINT (-112.089020681 33.445930527)
6340,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,,,33.45863867,-112.07352016,POINT (-112.07352016 33.45863867)
6311,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,American Indian or Alaska Native,Yes,American Indian or Alaska Native,,,33.500641063,-112.056474695,POINT (-112.056474695 33.500641063)
5534,Interview,App,01/27/2020,2020,Scottsdale,25-54,25+,male,White,No,White,No,,33.578257402,-111.886582067,POINT (-111.886582067 33.578257402)
5765,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,,,33.446183823,-112.088086216,POINT (-112.088086216 33.446183823)
6432,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,female,White,No,White,,,33.49611816,-112.16835286,POINT (-112.16835286 33.49611816)
5124,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,No,,33.590907717,-112.1193471,POINT (-112.1193471 33.590907717)
6219,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,female,White,No,White,,,33.46234581,-112.07601898,POINT (-112.07601898 33.46234581)
6319,Observation Tool,App,01/27/2020,2020,Phoenix,55-61,25+,male,White,No,White,,,33.569902112,-112.08539201,POINT (-112.08539201 33.569902112)
5900,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,DK/REF,DK/REF,DK/REF,,,33.446840127,-112.085773526,POINT (-112.085773526 33.446840127)
5527,Interview,App,01/27/2020,2020,Scottsdale,25-54,25+,male,White,No,White,Yes,true,33.494149656,-111.908550281,POINT (-111.908550281 33.494149656)
4978,Interview,App,01/27/2020,2020,Phoenix,18-24,18-24,female,Black or African American,DK/REF,Black or African American,No,,33.494328987,-112.151952116,POINT (-112.151952116 33.494328987)
4838,Interview,App,01/27/2020,2020,Phoenix,62+,25+,female,Multiple Races,No,Multiple Races,No,true,33.452715478,-112.073704703,POINT (-112.073704703 33.452715478)
6824,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.4677319,-112.22301847,POINT (-112.22301847 33.4677319)
