Place Name,Geo Id,Geography Type,Year,Year (Date),Variable Code,Variable Label,Field Name,Variable Concept,Annotation,Value,Percent Change,Difference,Centroid,Internal Point,Geometry
,1400000US04013422501,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,64661,-0.01,-849,POINT (-111.76247083616039 33.40093651024589),POINT (-111.76247347241878 33.400106),"MULTIPOLYGON (((-111.771174 33.399253, -111.771155 33.402185, -111.771116 33.408166, -111.762452 33.4082, -111.753758 33.408234, -111.753776 33.400959, -111.753797 33.393714, -111.761361 33.393692, -111.763238 33.393679, -111.771205 33.393635, -111.771174 33.399253)))"
,1400000US04013522801,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",,,,POINT (-111.6546638739384 33.30738121748738),POINT (-111.65274063073483 33.307328999999996),"MULTIPOLYGON (((-111.679871 33.321734, -111.671562 33.321737, -111.670098 33.32152, -111.66989 33.32145, -111.642085 33.321127, -111.639064 33.319139, -111.635484 33.318295, -111.63493 33.292248, -111.669498 33.292501, -111.669595 33.296317, -111.67085 33.298363, -111.673161 33.300687, -111.672978 33.301833, -111.670696 33.303666, -111.670127 33.304747, -111.670334 33.309911, -111.67368 33.312637, -111.676324 33.312787, -111.678206 33.31358, -111.678889 33.314898, -111.678846 33.319913, -111.679871 33.321734)))"
,1400000US04013422622,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,80278,0.11,7661,POINT (-111.69635756984376 33.37217313801022),POINT (-111.69639540833151 33.3739445),"MULTIPOLYGON (((-111.705115 33.37932, -111.697195 33.379351, -111.691205 33.379354, -111.687922 33.379385, -111.68785 33.375749, -111.68771 33.368358, -111.687671 33.365018, -111.688761 33.365021, -111.693369 33.364987, -111.695299 33.365003, -111.696182 33.364977, -111.704719 33.364933, -111.704841 33.369362, -111.704884 33.370875, -111.704928 33.37214, -111.705115 33.37932)))"
,1400000US04013420113,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,39063,-0.03,-1137,POINT (-111.67596359606598 33.41901716197797),POINT (-111.67595311602871 33.419783),"MULTIPOLYGON (((-111.684505 33.416888, -111.684504 33.417129, -111.684505 33.417887, -111.684503 33.418874, -111.684491 33.420692, -111.68447 33.422933, -111.682378 33.422933, -111.670576 33.422437, -111.667393 33.422438, -111.667416 33.418676, -111.667434 33.415185, -111.675292 33.415216, -111.676104 33.415349, -111.678234 33.415433, -111.683216 33.41566, -111.684516 33.415675, -111.684505 33.416888)))"
,1400000US04013422632,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,56848,0.02,921,POINT (-111.64141918104195 33.40059418986865),POINT (-111.64140951034108 33.4005975),"MULTIPOLYGON (((-111.65008 33.3988, -111.650067 33.400616, -111.650116 33.404246, -111.650136 33.407854, -111.648832 33.407822, -111.648395 33.407819, -111.641707 33.407795, -111.640504 33.4078, -111.63707 33.40786, -111.632718 33.407851, -111.63273 33.404221, -111.632752 33.400579, -111.63276 33.396957, -111.632765 33.396074, -111.632774 33.394275, -111.63278 33.393352, -111.640645 33.393333, -111.641501 33.393357, -111.646179 33.393374, -111.650144 33.393351, -111.65008 33.3988)))"
,1400000US04013422625,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,38732,-0.02,-732,POINT (-111.70074538349843 33.41216118023542),POINT (-111.70090044000963 33.4125625),"MULTIPOLYGON (((-111.719959 33.415552, -111.719119 33.415556, -111.717497 33.415565, -111.71484 33.415571, -111.710509 33.41558, -111.705187 33.415604, -111.702758 33.415611, -111.701747 33.415616, -111.695379 33.415642, -111.693187 33.415644, -111.685967 33.415664, -111.684516 33.415675, -111.684526 33.413499, -111.684539 33.411626, -111.684554 33.408595, -111.687679 33.408569, -111.695021 33.408524, -111.706392 33.408378, -111.710763 33.408366, -111.713511 33.408397, -111.719127 33.414623, -111.719959 33.415552)))"
,1400000US04013422222,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,103462,0.14,12810,POINT (-111.8627997314129 33.37071362611605),POINT (-111.86274569961418 33.371322500000005),"MULTIPOLYGON (((-111.867842 33.36679, -111.867641 33.367381, -111.865544 33.367294, -111.864924 33.368629, -111.867219 33.369819, -111.866173 33.371152, -111.864644 33.374011, -111.866218 33.374906, -111.864059 33.378072, -111.864017 33.37869, -111.859751 33.378738, -111.859418 33.371493, -111.859157 33.366206, -111.859085 33.364232, -111.861827 33.364218, -111.867828 33.364159, -111.867842 33.36679)))"
,1400000US04013422609,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,62136,0.11,6028,POINT (-111.67608988968911 33.40067429027885),POINT (-111.6760732385657 33.4021715),"MULTIPOLYGON (((-111.68471 33.395818, -111.684667 33.400669, -111.684633 33.403674, -111.684589 33.406539, -111.684554 33.408595, -111.68198 33.407949, -111.675899 33.407911, -111.667771 33.407873, -111.667487 33.407887, -111.667499 33.40065, -111.667522 33.393395, -111.676175 33.393321, -111.681154 33.393335, -111.682112 33.393431, -111.684732 33.39398, -111.68471 33.395818)))"
,1400000US04013420211,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,96597,-0.04,-4212,POINT (-111.69204674962614 33.473309524724414),POINT (-111.6925620961513 33.474176),"MULTIPOLYGON (((-111.7012 33.475385, -111.70125 33.480826, -111.683886 33.480814, -111.683922 33.472967, -111.683921 33.472567, -111.682635 33.47111, -111.679827 33.466321, -111.681541 33.466323, -111.681778 33.466323, -111.683938 33.466323, -111.692613 33.466324, -111.701258 33.466324, -111.7012 33.475385)))"
,1400000US04013420110,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,116581,0.25,23346,POINT (-111.60807256504741 33.45596473116299),POINT (-111.60646530580699 33.4594205),"MULTIPOLYGON (((-111.635038 33.450094, -111.634221 33.451482, -111.632554 33.454789, -111.632354 33.45865, -111.632241 33.460191, -111.631686 33.461981, -111.630399 33.466064, -111.629494 33.469096, -111.625421 33.478748, -111.623333 33.48216, -111.619766 33.488996, -111.617226 33.494826, -111.605991 33.495631, -111.603772 33.49579, -111.600446 33.486108, -111.603074 33.467182, -111.602741 33.467163, -111.581715 33.465964, -111.580626 33.465902, -111.580634 33.4658, -111.580633 33.458619, -111.580638 33.451334, -111.580636 33.44384, -111.580672 33.436818, -111.581751 33.436826, -111.583903 33.436826, -111.588235 33.436827, -111.589305 33.436827, -111.58929 33.43139, -111.589302 33.429547, -111.597967 33.429539, -111.59767 33.427419, -111.597986 33.422319, -111.607729 33.42231, -111.615322 33.422347, -111.615347 33.425973, -111.615314 33.429561, -111.615306 33.433196, -111.615307 33.43683, -111.623953 33.436836, -111.632634 33.436856, -111.632626 33.438235, -111.632624 33.440486, -111.632624 33.443182, -111.632786 33.444099, -111.634832 33.446869, -111.635286 33.448084, -111.635038 33.450094)))"
